,Street,Num of rooms,Floor,Price,Bars,Furniture,Elevator,Terrace,Parking,Size of house per mm,Numbers_for_Type_house_in_df,Numbers_for_Cities_in_df
138,ש''י עגנון,3.0,7,1250000.0,1,1,2,1,2,75.0,1,13
139,דנין ,3.0,4,1450000.0,1,2,1,1,1,78.0,1,17
140,חיים לנדאו,4.0,6,1930000.0,2,2,2,1,2,90.0,1,10
141,דרך חלפון,6.0,2,1180000.0,2,1,1,2,2,180.0,1,37
142,ברקן,4.0,3,1840000.0,2,2,2,1,2,75.0,1,10
143,הרב יצחק הלוי,2.0,3,1250000.0,2,1,1,1,1,65.0,1,10
144,חיים וייצמן,3.0,1,1360000.0,2,1,1,1,1,70.0,1,10
145,הגפן,3.0,1,1360000.0,2,1,1,1,1,70.0,1,10
146,זלמן ארן,3.0,2,1420000.0,2,1,1,2,2,78.0,1,10
147,הרב יצחק הלוי,3.0,4,1090000.0,2,1,1,1,1,55.0,1,10
148,הבורסה מגדל סיטי טאוור,2.0,20,1900000.0,1,2,2,1,2,55.0,1,38
149,הבורסה סיטי טאוור מגדל לאונארדו ,2.0,16,2300000.0,1,2,2,1,2,64.0,1,39
150,מרכז,2.0,2,1290000.0,2,1,1,2,2,55.0,1,17
151,עין גנים,3.0,5,1700000.0,2,1,2,2,2,83.0,1,19
152,מרכז העיר,3.0,3,1050000.0,1,1,1,1,1,101.0,1,16
153,מרכז,4.0,2,6400000.0,1,1,2,2,2,110.0,1,3
154,למד החדשה ,5.0,6,9999999.0,1,1,1,2,2,136.0,12,3
155,24,4.0,3,1470000.0,1,1,1,1,2,88.0,1,9
156,רחובות המדע,4.0,2,2600000.0,1,1,2,2,2,130.0,1,14
157,לב העיר,3.0,5,6850000.0,1,1,2,2,2,129.0,12,3
158,מרכז,2.0,1,1260000.0,1,1,1,1,1,65.0,1,19
159,תל גיבורים,4.0,0,2530000.0,1,1,1,1,2,88.0,7,10
160,הלל,3.0,4,1690000.0,1,2,1,2,1,75.0,1,1
161,נחלת עדה,4.0,1,2690000.0,2,1,1,2,2,120.0,1,21
162,מרכז,3.0,3,1880000.0,1,1,2,2,2,75.0,1,14
163,הצפון הישן,3.0,2,2850000.0,1,1,1,1,1,70.0,1,3
164,נווה גן,6.0,4,6600000.0,1,1,2,2,2,180.0,1,40
165,בית הכרם,2.0,3,2050000.0,1,1,1,2,1,61.0,1,6
166,מרכז,3.0,2,4790000.0,1,1,2,2,2,87.0,1,3
167,נעמי שמר,5.0,3,2540000.0,2,1,2,2,2,122.0,1,10
168,ביל''ו,2.0,2,1260000.0,2,1,1,1,2,45.0,1,10
169,מונטיפיורי,3.0,2,1400000.0,2,1,1,1,2,75.0,1,10
170,הרבי מקארלין,4.0,0,3850000.0,2,2,1,1,2,140.0,7,3
171,הרא''ה,4.0,1,2300000.0,2,1,1,1,2,105.0,1,1
172,טופז,5.0,12,2690000.0,1,2,2,2,2,132.0,1,41
173,הביל''ויים,4.0,2,2250000.0,2,2,2,2,1,120.0,1,1
174,הלורד בלפור,4.0,3,420000.0,1,2,1,1,2,88.0,1,42
175,מסריק,4.0,1,1940000.0,1,1,2,2,2,114.0,1,25
176,האודם,5.0,1,3950000.0,2,1,2,1,2,205.0,7,20
177,יוסף קושניר 2,5.0,2,1930000.0,2,2,1,2,2,120.0,1,11
178,אבשלום חביב,3.0,1,1420000.0,1,2,1,1,2,60.0,1,6
179,יציאה לרחוב משה דיין,5.0,3,3150000.0,1,2,2,2,2,130.0,1,10
180,המלכים 56,6.0,0,5250000.0,1,1,1,2,1,130.0,2,40
181,שדרות שמשון,4.0,0,1900000.0,1,1,1,2,2,315.0,5,25
182,משטרת היישובים,6.0,0,2900000.0,2,2,1,2,2,160.0,3,6
183,הרב קוק 17,3.0,0,1039000.0,2,2,1,1,2,70.0,1,4
184,רחל,3.0,1,2100000.0,2,2,1,1,1,56.0,1,36
185,דרך הים,8.0,0,7600000.0,1,2,1,2,2,400.0,13,43
186,הרב ערוסי אחיה,4.0,7,1390000.0,1,1,2,2,2,128.0,1,13
